Name	*StringName	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	*IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl	MonLvl(N)	MonLvl(H)	MonLvlEx	MonLvlEx(N)	MonLvlEx(H)	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	LevelEntry	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	LevelGroup
Null	Null	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	50				0	0	0							0	0																																																																																										0	0	255				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Null
Act 1 - Town	Rogue Encampment	1	0	0			0	56	40	56	40	56	40	-1	-1	0	1	1	0	0	0	1	1	0	0	2	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	1	1	0	0	2025	0	25	50				0	0	0							0	0																																																																														chicken				30	30							0	1	0	Rogue Encampment	To The Rogue Encampment	EnteringTheRogueEncampment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Act 1 - Town
Act 1 - Wilderness 1	Blood Moor	2	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	0	4	5	0	0	0	8	8	8	8	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	0	0	1	0	2025	1	26	51	1	43	76	520	520	520	7	9	7	9	7	9	1	0	3	blunderbore5_1	bonefetish7_1	brute1	cr_lancer1	crownest1	doomknight2_1	fallenshaman1	fetishblow1_1	foulcrow1	frogdemon1_1	frozenhorror4_1	goatman1	minion6_1	mosquito1_1	overseer2_1	pantherwoman4_1	sandmaggot5_1	skmage_ltng4_1	skmage_pois4_1	succubuswitch4_1	swarm2_1	vampire8_1	vulture3_1	wraith9_1	zealot3_1		blunderbore5_1	bonefetish7_1	brute1	cr_lancer1	crownest1	doomknight2_1	fallenshaman1	fetishblow1_1	foulcrow1	frogdemon1_1	frozenhorror4_1	goatman1	minion6_1	mosquito1_1	overseer2_1	pantherwoman4_1	sandmaggot5_1	skmage_ltng4_1	skmage_pois4_1	succubuswitch4_1	swarm2_1	vampire8_1	vulture3_1	wraith9_1	zealot3_1	blunderbore5_1	bonefetish7_1	brute1	cr_lancer1	doomknight2_1	fallenshaman1	fetishblow1_1	foulcrow1	frogdemon1_1	frozenhorror4_1	goatman1	minion6_1	mosquito1_1	overseer2_1	pantherwoman4_1	sandmaggot5_1	skmage_ltng4_1	skmage_pois4_1	succubuswitch4_1	swarm2_1	vampire8_1	vulture3_1	wraith9_1	zealot3_1														0	2	255	Blood Moor	To The Blood Moor	EnteringTheBloodMoor	4	38	33	34	0	0	0	0	3	17	17	17	0	0	0	0	Act 1 - Blood Moor
Act 1 - Wilderness 2	Cold Plains	3	0	0			0	80	80	80	80	80	80	1000	1000	0	1	1	0	0	0	1	1	1	0	3	2	6	1	4	5	0	0	0	9	9	9	9	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	1	0	1	0	2025	2	27	52	2	43	77	520	520	520	7	9	7	9	7	9	1	0	3	arach1_2	baboon1_2	bighead3	brute2	clawviper4_2	corruptrogue2	cr_archer8	cr_lancer9	doomknight1_2	doomknight2_1	dkmag1_2	fetish3_2	goatman1	cowking_2	mummy2_2	pantherwoman4_1	putriddefiler3_2	sandmaggot5_1	sk_archer1	skmage_ltng4_1	slinger5_2	snowyeti2_2	unraveler3_2	willowisp4_2	wraith9_1		arach1_2	baboon1_2	bighead3	brute2	clawviper4_2	corruptrogue2	cr_archer8	cr_lancer9	doomknight1_2	doomknight2_1	dkmag1_2	fetish3_2	goatman1	cowking_2	mummy2_2	pantherwoman4_1	putriddefiler3_2	sandmaggot5_1	sk_archer1	skmage_ltng4_1	slinger5_2	snowyeti2_2	unraveler3_2	willowisp4_2	wraith9_1	arach1_2	baboon1_2	bighead3	brute2	clawviper4_2	corruptrogue2	cr_archer8	cr_lancer9	doomknight1_2	doomknight2_1	dkmag1_2	fetish3_2	goatman1	cowking_2	mummy2_2	pantherwoman4_1	putriddefiler3_2	sandmaggot5_1	sk_archer1	skmage_ltng4_1	slinger5_2	snowyeti2_2	unraveler3_2	willowisp4_2	wraith9_1													0	2	1	Cold Plains	To The Cold Plains	EnteringTheColdPlains	4	38	33	34	0	0	0	0	3	22	22	22	0	0	0	0	Act 1 - Cold Plains
Act 1 - Wilderness 3	Stony Field	4	0	0			0	80	80	80	80	80	80	1000	1000	0	1	1	0	0	0	1	1	1	0	3	2	6	2	4	5	0	0	0	10	10	10	10	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	0	0	1	0	2025	4	29	54	4	44	77	520	520	520	7	9	7	9	7	9	1	0	3	baboon1_2	bighead3	blunderbore5_1	clawviper4_2	cr_archer2	fetish3_2	fetishshaman7_4	fingermage4_4	frogdemon1_1	imp1_4	mosquito1_1	putriddefiler3_2	sandleaper4_4	scarab8_4	siegebeast2_4	skeleton1	skmage_fire1_4	skmage_ltng4_1	succubus5_4	succubuswitch4_1	swarm2_1	thornhulk2_4	unraveler3_2	vampire8_1	vulture3_1		baboon1_2	bighead3	blunderbore5_1	clawviper4_2	cr_archer2	fetish3_2	fetishshaman7_4	fingermage4_4	frogdemon1_1	imp1_4	mosquito1_1	putriddefiler3_2	sandleaper4_4	scarab8_4	siegebeast2_4	skeleton1	skmage_fire1_4	skmage_ltng4_1	succubus5_4	succubuswitch4_1	swarm2_1	thornhulk2_4	unraveler3_2	vampire8_1	vulture3_1	baboon1_2	bighead3	blunderbore5_1	clawviper4_2	cr_archer2	fetish3_2	fetishshaman7_4	fingermage4_4	frogdemon1_1	imp1_4	mosquito1_1	putriddefiler3_2	sandleaper4_4	scarab8_4	skeleton1	skmage_fire1_4	skmage_ltng4_1	succubus5_4	succubuswitch4_1	swarm2_1	thornhulk2_4	unraveler3_2	vampire8_1	vulture3_1														0	2	2	Stony Field	To The Stony Field	EnteringTheStonyField	1	38	33	34	0	0	0	0	4	27	27	27	0	0	0	0	Act 1 - Stony Field
Act 1 - Wilderness 4	Dark Wood	5	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	3	4	5	0	0	0	10	10	10	10	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	1	0	1	0	2025	5	30	55	5	45	77	520	520	520	7	9	7	9	7	9	1	0	3	baboon6_5	bighead4	bonefetish4_5	cantor1_5	cr_archer1	doomknight1_2	doomknight2_5	dkmag1_2	fallen2	fallenshaman2	fetish3_2	fetishshaman7_4	overseer6_5	pantherwoman5_5	reanimatedhorde6_5	scarab8_4	sk_archer2	skeleton1	skmage_cold1	skmage_fire1	skmage_ltng6	slinger5_2	suicideminion11_5	thornhulk2_4	unraveler3_2		baboon6_5	bighead4	bonefetish4_5	cantor1_5	cr_archer1	doomknight1_2	doomknight2_5	dkmag1_2	fallen2	fallenshaman2	fetish3_2	fetishshaman7_4	overseer6_5	pantherwoman5_5	reanimatedhorde6_5	scarab8_4	sk_archer2	skeleton1	skmage_cold1	skmage_fire1	skmage_ltng6	slinger5_2	suicideminion11_5	thornhulk2_4	unraveler3_2	bighead4	bonefetish4_5	cantor1_5	cr_archer1	doomknight1_2	doomknight2_5	dkmag1_2	fallen2	fallenshaman2	fetish3_2	fetishshaman7_4	overseer6_5	pantherwoman5_5	reanimatedhorde6_5	scarab8_4	sk_archer2	skeleton1	skmage_cold1	skmage_fire1	skmage_ltng6	slinger5_2	thornhulk2_4	unraveler3_2															0	2	3	Dark Wood	To The Dark Wood	EnteringTheDarkWood	1	38	33	34	0	0	0	0	4	30	30	30	0	0	0	0	Act 1 - Dark Wood
Act 1 - Wilderness 5	Black Marsh	6	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	4	4	5	0	0	20	11	11	11	11	0	-1	-1	10	0	1	2	3	-1	0	0	0	0	0	0	1	0	2025	6	31	56	6	45	78	520	520	520	7	9	7	9	7	9	1	0	3	batdemon5_6	clawviper4_6	crownest1	deathmauler5_6	doomknight2_5	dkmag2_6	fetishblow1	fetishshaman7_4	fingermage4_4	foulcrow1	mosquito1_6	mummy3_6	quillrat3	reanimatedhorde6_5	sandleaper4_4	sandmaggot7_6	siegebeast2_4	sk_archer3	skmage_cold1	skmage_fire1	swarm3_6	unraveler4_6	willowisp6_6	wraith1	zombie4_6		batdemon5_6	clawviper4_6	crownest1	deathmauler5_6	doomknight2_5	dkmag2_6	fetishblow1	fetishshaman7_4	fingermage4_4	foulcrow1	mosquito1_6	mummy3_6	quillrat3	reanimatedhorde6_5	sandleaper4_4	sandmaggot7_6	siegebeast2_4	sk_archer3	skmage_cold1	skmage_fire1	swarm3_6	unraveler4_6	willowisp6_6	wraith1	zombie4_6	batdemon5_6	clawviper4_6	deathmauler5_6	doomknight2_5	dkmag2_6	fetishblow1	fetishshaman7_4	fingermage4_4	foulcrow1	mosquito1_6	mummy3_6	quillrat3	reanimatedhorde6_5	sandleaper4_4	sandmaggot7_6	sk_archer3	skmage_cold1	skmage_fire1	swarm3_6	unraveler4_6	willowisp6_6	wraith1	zombie4_6															0	2	4	Black Marsh	To The Black Marsh	EnteringTheBlackMarsh	1	38	33	34	0	0	0	0	5	32	32	32	0	0	0	0	Act 1 - Black Marsh
Act 1 - Wilderness 6	Tamoe Highland	7	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	2	4	5	0	0	0	12	12	12	12	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	1	0	1	0	2025	8	33	58	8	46	78	520	520	520	7	9	7	9	7	9	1	0	3	arach1	batdemon5_6	bighead4	bloodlord3_8	clawviper1	crownest2	deathmauler5_6	doomknight2_5	fallen4	fetishshaman1	frogdemon2_8	frozenhorror4_8	goatman2	overseer6_5	putriddefiler4_8	skeleton3	skmage_cold1	skmage_fire5	slinger5_8	snowyeti3_8	swarm3_6	vilemother2_8	wraith2	zealot3_8	zombie4_6		arach1	batdemon5_6	bighead4	bloodlord3_8	clawviper1	crownest2	deathmauler5_6	doomknight2_5	fallen4	fetishshaman1	frogdemon2_8	frozenhorror4_8	goatman2	overseer6_5	putriddefiler4_8	skeleton3	skmage_cold1	skmage_fire5	slinger5_8	snowyeti3_8	swarm3_6	vilemother2_8	wraith2	zealot3_8	zombie4_6	arach1	batdemon5_6	bighead4	bloodlord3_8	clawviper1	deathmauler5_6	doomknight2_5	fallen4	fetishshaman1	frogdemon2_8	frozenhorror4_8	goatman2	overseer6_5	putriddefiler4_8	skeleton3	skmage_cold1	skmage_fire5	slinger5_8	snowyeti3_8	swarm3_6	vilemother2_8	wraith2	zealot3_8	zombie4_6														0	2	255	Tamoe Highland	To The Tamoe Highland	EnteringTheTamoeHighland	1	38	33	34	0	0	0	0	5	35	35	35	0	0	0	0	Act 1 - Tamoe Highland
Act 1 - Cave 1	Den of Evil	8	0	0			1	200	200	200	200	200	200	1500	1000	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	2	0	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	1	2025	1	26	51	1	43	88	600	600	600							0	0	3	baboon1_2	bighead4_1	clawviper4_2	cr_archer1	cr_lancer1	doomknight2_1	dkmag1_2	fallen1	fetish3_2	fetishshaman7_4	fingermage4_4	cowking_2	megademon5_1	overseer2_1	pantherwoman4_1	putriddefiler3_2	quillrat1	regurgitator4_1	sandraider1_1	siegebeast2_4	skmage_pois4_1	snowyeti2_2	suicideminion10_1	willowisp4_2	wraith9_1		baboon1_2	bighead4_1	clawviper4_2	cr_archer1	cr_lancer1	doomknight2_1	dkmag1_2	fallen1	fetish3_2	fetishshaman7_4	fingermage4_4	cowking_2	megademon5_1	overseer2_1	pantherwoman4_1	putriddefiler3_2	quillrat1	regurgitator4_1	sandraider1_1	siegebeast2_4	skmage_pois4_1	snowyeti2_2	suicideminion10_1	willowisp4_2	wraith9_1	baboon1_2	bighead4_1	clawviper4_2	cr_archer1	cr_lancer1	doomknight2_1	dkmag1_2	fallen1	fetish3_2	fetishshaman7_4	fingermage4_4	cowking_2	megademon5_1	overseer2_1	pantherwoman4_1	putriddefiler3_2	quillrat1	regurgitator4_1	sandraider1_1	skmage_pois4_1	snowyeti2_2	willowisp4_2	wraith9_1			rat	bat			30	30							0	4	255	Den of Evil	To The Den of Evil	EnteringTheDenOfEvilInQuest	6	4	0	0	0	0	0	0	35	45	0	0	0	0	0	0	Act 1 - Den of Evil
Act 1 - Cave 2	Cave Level 1	9	0	0			2	200	200	200	200	200	200	1500	1300	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	3	0	0	0	13	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	2	27	52	2	43	86	600	600	600	6	8	6	8	6	8	1	0	3	arach1_2	baboon1_2	batdemon3_2	blunderbore5_1	bonefetish7_1	cantor1_5	clawviper4_2	corruptrogue1	cr_archer8	doomknight2_5	fallen2	fallenshaman1	fetishblow1_1	fetishshaman7_4	fingermage4_4	cowking_2	imp1_4	mummy2_2	overseer2_1	regurgitator4_1	skeleton1	skmage_pois4_1	snowyeti2_2	swarm2_1	willowisp4_2		arach1_2	baboon1_2	batdemon3_2	blunderbore5_1	bonefetish7_1	cantor1_5	clawviper4_2	corruptrogue1	cr_archer8	doomknight2_5	fallen2	fallenshaman1	fetishblow1_1	fetishshaman7_4	fingermage4_4	cowking_2	imp1_4	mummy2_2	overseer2_1	regurgitator4_1	skeleton1	skmage_pois4_1	snowyeti2_2	swarm2_1	willowisp4_2	arach1_2	baboon1_2	batdemon3_2	blunderbore5_1	bonefetish7_1	cantor1_5	clawviper4_2	corruptrogue1	cr_archer8	doomknight2_5	fallen2	fallenshaman1	fetishblow1_1	fetishshaman7_4	fingermage4_4	cowking_2	imp1_4	mummy2_2	overseer2_1	regurgitator4_1	skeleton1	skmage_pois4_1	snowyeti2_2	swarm2_1	willowisp4_2	rat	bat			30	30							0	4	255	Cave Level 1	To The Cave Level 1	EnteringTheCaveLevel1	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	Act 1 - Cave
