Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
																																					0	0
Sturdy	0	1	1	4		3				0	101	stupidity		1	1	oskill	54	69	11	lifesteal		14	14		armo												0	0
Strong	0	1	1	9		6				0	101	ac		25	25	ac%		30	30	oskill	44	5	5		armo												0	0
Glorious	0	1	1	19		14				0	101	aura	Sanctuary	10	13	res-all		8	11	dmg-min		1	1		armo												0	0
Blessed	0	1	1	25		18				0	101	ac%		70	80	res-all-max		15	15	enr		7	10		armo												0	0
Saintly	0	1	1	31		23				0	101	hp		50	50	skilltab	20	1	1	str		3	5	dgld	armo												0	0
Holy	0	1	1	36		27				0	101	dmg-max		15	15	vit		20	20	ac		65	65	dgld	armo												0	0
Devious	0	1	1	7		5				0	103	res-all		30	50	hp		60	60	mag%		100	100	dblu	shld												0	0
Fortified	0	1	1	14		10				0	103	skilltab	1	3	3	bar		1	1	swing1		10	10	dblu	shld												0	0
																																					0	0
																																					0	0
																																					0	0
Jagged	0	1	1	1		1				0	106	hp/lvl	8			oskill	74	12	4	nofreeze	0	1	1		weap												0	0
Deadly	0	1	1	5		3				0	106	mag%		40	40	cast3		20	20	ac		50	50		weap												0	0
Vicious	0	1	1	8		6				0	106	res-fire		50	50	regen-stam		30	30	dex	0	10	10		weap												0	0
Brutal	0	1	1	14		10				0	106	hp		50	50	dmg-min		3	4	dmg-max		2	2		weap												0	0
Massive	0	1	1	20		15				0	106	dmg-max		4	6	skilltab	6	3	3	oskill	44	8	8	dgld	weap												0	0
Savage	0	1	1	26		19				0	106	ac%		140	180	res-pois		21	30					dgld	weap							staf	wand				0	0
Merciless	0	1	1	32		24				0	106	res-fire		75	75	ac		75	75	mana	0	31	31	dgld	weap							staf	wand				0	0
Vulpine	0	1	1	9		6				0	107	crush		33	33	dmg-ltng		50	75	dmg-mag		114	377	cblu	shld	amul											0	0
																																					0	0
																																					0	0
																																					0	0
																																					0	0
Tireless	0	1	1	14		10				0	109	oskill	Heart of Wolverine	13	5	str		25	40	hit-skill	Volcano	23	12		boot												0	0
Rugged	0	1	1	14		10				0	110	res-all		20	20	dmg-demon		200	250	regen-stam	0	50	50		boot	glov	belt	ring	amul								0	0
Bronze	0	1	1	1		1				0	111	ac%		60	100	block2		30	30	res-cold		11	12		weap	ring	glov	amul									0	0
Iron	0	1	1	4		3				0	111	ignore-ac		1	1	aura	Sanctuary	10	13	dmg-ltng		50	75		weap	ring											0	0
Steel	0	1	1	8		6				0	111	manasteal		15	15	hit-skill	Mark of the Wolf	100	1	dmg-min		1	4		weap	ring											0	0
Silver	0	1	1	12		9				0	111	str		7	10	ltng-min		1	1	ltng-max		25	43		weap	ring											0	0
																																					0	0
Gold	0	1	1	17		12				0	111	hit-skill	Frozen Orb	9	11	dmg-to-mana		12	12	str		1	2	lgld	weap												0	0
Platinum	0	1	1	22		16				0	111	res-fire		20	20	att%		60	120	dmg-demon		75	75	lgld	weap	ring											0	0
Meteoric	0	1	1	27		20				0	111	lifesteal		3	7	vit		22	22	res-fire-max	0	10	10	lgld	weap	ring						staf	wand				0	0
Sharp	0	1	1	5		3				0	112	slow		50	50	dex		10	10	gethit-skill	48	25	3		weap												0	0
Fine	0	1	1	9		6				0	112	enr		10	10	fire-min		1	1	fire-max		2	3		weap												0	0
Warrior's	0	1	1	15		11				0	112	regen-stam		30	30	ease		-25	-25	res-pois-len		75	75		weap												0	0
Soldier's	0	1	1	21		15				0	112	res-all		40	40	red-mag		5	9	ac		305	415		weap												0	0
Knight's	0	1	1	25		18				0	112	mana-kill		2	2	hit-skill	Bone Spear	15	10	manasteal		2	3	dgld	weap												0	0
Lord's	0	1	1	30		22				0	112	oskill	51	20	10	block		20	30	hp		65	65	dgld	weap							staf	wand				0	0
King's	0	1	1	35		26				0	112	ac		50	50	res-all		8	11	res-fire		8	9	dgld	weap							staf	wand				0	0
Howling	0	1	1	16		12				0	113	extra-ltng		3	5									oran	weap							miss					0	0
Fortuitous	0	1	1	5		3				0	114	att		35	35	enr		12	12	dmg%		150	200		ring	amul											0	0
																																					0	0
																																					0	0
																																					0	0
																																					0	0
																																					0	0
Glimmering	0	1	1	1		1				0	116	dmg-pois	200	384	384	ignore-ac		1	1	oskill	56	5	5		armo	wand	staf	ring	amul								0	0
Glowing	0	1	1	6		4				0	116	str		10	10	skilltab	15	3	3					lyel	armo	wand	staf	ring	amul								0	0
																																					0	0
																																					0	0
Lizard's	0	1	1	3		2				0	118	fire-min	0	5	5	fire-max	0	8	8	oskill	59	2	2		armo	ring	amul	rod				boot	glov				0	0
																																					0	0
Snake's	0	1	1	6		4				0	118	dmg%		100	100	mana/lvl	5			cast3		25	25		shld	rod	belt	ring	amul								0	0
Serpent's	0	1	1	14		10				0	118	ltng-min		1	1	ltng-max		61	100	hp		40	40		shld	rod	belt	ring	amul								0	0
Serpent's	0	1	1	37		27				0	118	dmg-ltng		1	30	ac		160	160	skilltab	20	2	2		tors	helm	boot	glov	mele			h2h	rod				0	0
Drake's	0	1	1	20		15				0	118	hit-skill	Firestorm	12	16	swing2		20	20	dmg-fire		1	2	cblu	rod	ring	amul	belt									0	0
Dragon's	0	1	1	24		18				0	118	balance2		10	10	dex		15	15	mag%		26	35	cblu	rod	ring	amul										0	0
Dragon's	0	1	1	52		39				0	118	stamdrain		10	10	dmg%		240	290	allskills		1	1	cblu	tors	helm	boot	glov									0	0
Wyrm's	0	1	1	30		22				0	118	ac/lvl	20			res-fire		20	20	ama		2	2	cblu	rod	ring	amul										0	0
																																					0	0
																																					0	0
