Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Health	0	1	1	7		5					1	oskill	111	1	3	ignore-ac		1	1	noheal		1	1		tors	helm	shld	ring	amul								0	0
of Protection	0	1	1	18		13					1	pierce-immunity-poison		300	300	ac%		170	230	str		3	5		ring	amul											0	0
of Absorption	0	1	1	26		19					1	att		45	45	aura	Cleansing	13	17	res-fire		40	40		amul												0	0
of Life	0	1	1	35		26					1	red-mag		5	5	deadly		66	66	gethit-skill	92	15	15	dblu	amul												0	0
		1																																			0	0
of Warding	0	1	1	7		5					2	red-dmg%		35	35	ac%		150	180	lifesteal		10	10		tors	helm	shld	ring	amul								0	0
of the Sentinel	0	1	1	18		13					2	str		15	15	sor	0	1	1	skilltab	18	1	1		ring	amul											0	0
of Guarding	0	1	1	26		19					2	ac/lvl	24			mana		8	12						amul												0	0
of Negation	0	1	1	35		26					2	dmg-max		3	3	dmg%		150	200	mana-kill		3	3		amul												0	0
																																					0	0
of Piercing	0	1	1	25		18					3	openwounds		30	30	oskill	BloodGolem	15	22	att	0	60	60		rod												0	0
of Bashing	0	1	1	16		12					4	fireskill		1	1	dmg-pois	250	300	300	ac		60	60		mele							wand	staf				0	0
of Puncturing	0	1	1	6		4					4	swing2		40	40	cold-min		1	1	cold-max		2	3		mele							wand	staf				0	0
of Thorns	0	1	1	14		10					5	dmg%		30	50	ignore-ac		1	1	att-skill	49	5	3		tors	helm	shld	belt									0	0
of Spikes	0	1	1	21		15					5	deadly		30	30	ac%		180	220	att		400	450	oran	tors	helm	shld	belt									0	0
of Readiness	0	1	1	1		1					6	cast2		40	40	hit-skill	Bone Spear	50	16	gold%	0	75	75		weap	glov											0	0
of Alacrity	0	1	1	8		6					6	light-thorns		4	4	att	0	41	60	swing3		30	30		weap												0	0
of Swiftness	0	1	1	19		14					6	red-mag		3	3										mele							wand	staf				0	0
of Quickness	0	1	1	25		18					6	red-mag		1	1	oskill	Iron Maiden	40	15	lifesteal		6	6	dyel	mele							wand	staf				0	0
of Blocking	0	1	1	1		1					7	light-thorns		15	15	dmg-demon		200	200	ac		100	100		shld												0	0
of Deflecting	0	1	1	11		8					7	res-fire		33	33	gold%		80	120	att%	0	25	25		shld												0	0
of the Apprentice	0	1	1	5		3					8	res-all		50	70	mana	0	31	40	dmg-max		4	6		rod	ring	amul										0	0
of the Magus	0	1	1	17		12					8	skilltab	11	1	1										rod												0	0
of Frost	0	1	1	4		3					9	att		100	150	manasteal		6	8	extra-fire		15	15		weap												0	0
of the Glacier	0	1	1	18		13					9	str		20	20	skilltab	20	1	1	nec	0	2	2		mele												0	0
of Frost	0	1	1	55		41					9	mana		25	25	swing2		30	30	ac%		50	50		belt	amul											0	0
of Warmth	0	1	1	10		7					10	cast3		20	20	swing2		30	30	nofreeze		1	1		shld	boot	glov	ring	amul								0	0
of Flame	0	1	1	4		3					11	oskill	101	200	20	dru		1	2	swing2		30	30		weap												0	0
of Fire	0	1	1	15		11					11	ac%		100	100	block2		30	30	res-all		30	30		weap												0	0
of Burning	0	1	1	25		18					11	ltng-min		1	1	ltng-max		19	28	dmg%		180	180	dred	weap												0	0
of Flame	0	1	1	40		30					11	stam		15	15	move2		25	25	att		41	60		glov	ring	amul										0	0
of Shock	0	1	1	4		3					12	lifesteal		10	15	dmg%		150	180	red-dmg%		24	24		weap												0	0
of Lightning	0	1	1	15		11					12	oskill	66	3	8	res-fire		5	5	cast3		20	20		weap												0	0
of Thunder	0	1	1	25		18					12	balance2		50	50	dex		15	15	mana		24	29	dyel	weap												0	0
of Shock	0	1	1	50		37					12	red-mag		9	13	att%/lvl	2			mag%		5	10		boot	ring	amul	weap				miss	rod				0	0
