Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	6	92	147	6	108	173	24	324	648	24	324	648	70	1070	8300	70	1070	11070	10	15	20	10	15	20	90	234	351	90	234	351
2	12	102	162	12	120	190	36	378	762	36	378	762	90	1130	8520	90	1130	11360	15	20	30	15	20	30	120	312	468	120	312	468
3	18	112	177	18	132	208	54	432	876	54	432	876	120	1200	8750	120	1200	11670	15	20	30	15	20	30	150	393	591	150	393	591
4	24	122	192	24	144	226	78	486	990	78	486	990	150	1250	8970	150	1250	11960	20	25	35	20	25	35	180	468	702	180	468	702
5	30	133	207	30	156	243	105	540	1104	105	540	1104	170	1320	9200	170	1320	12270	20	25	35	20	25	35	210	546	819	210	546	819
6	36	143	222	36	168	261	135	594	1218	135	594	1218	200	1390	9420	200	1390	12560	25	35	45	25	35	45	240	621	933	240	621	933
7	42	153	236	42	180	278	168	648	1332	168	648	1332	230	1450	9650	230	1450	12870	25	35	45	25	35	45	270	702	1053	270	702	1053
8	48	163	252	48	192	296	201	702	1446	201	702	1446	270	1520	9870	270	1520	13160	30	40	55	30	40	55	300	780	1170	300	780	1170
9	54	173	267	54	204	314	234	756	1560	234	756	1560	310	1570	10100	310	1570	13470	35	45	65	35	45	65	330	855	1284	330	855	1284
10	60	184	281	60	216	331	267	810	1674	267	810	1674	350	1640	10320	350	1640	13760	35	45	65	35	45	65	360	936	1404	360	936	1404
11	66	194	297	66	228	349	300	864	1788	300	864	1788	360	1710	10550	360	1710	14070	40	55	75	40	55	75	390	1014	1521	390	1014	1521
12	72	204	311	72	240	366	333	918	1902	333	918	1902	400	1770	10770	400	1770	14360	40	55	75	40	55	75	420	1089	1635	420	1089	1635
13	78	214	326	78	252	384	366	972	2016	366	972	2016	440	1840	11000	440	1840	14670	45	60	85	45	60	85	462	1203	1806	462	1203	1806
14	84	224	342	84	264	402	399	1026	2130	399	1026	2130	480	1890	11220	480	1890	14960	50	65	95	50	65	95	507	1320	1980	507	1320	1980
15	90	235	356	90	276	419	432	1080	2244	432	1080	2244	520	1960	11450	520	1960	15270	50	65	95	50	65	95	558	1446	2169	558	1446	2169
16	96	245	371	96	288	437	465	1134	2358	465	1134	2358	560	2030	11670	560	2030	15560	55	75	100	55	75	100	615	1599	2400	615	1599	2400
17	102	255	386	102	300	454	498	1188	2472	498	1188	2472	600	2090	11900	600	2090	15870	55	75	100	55	75	100	675	1752	2628	675	1752	2628
18	108	265	401	108	312	472	531	1242	2586	531	1242	2586	640	2160	12120	640	2160	16160	60	80	110	60	80	110	744	1932	2898	744	1932	2898
19	114	275	417	114	324	490	564	1296	2700	564	1296	2700	680	2210	12350	680	2210	16470	65	85	120	65	85	120	819	2124	3186	819	2124	3186
20	120	286	431	120	336	507	597	1350	2814	597	1350	2814	730	2280	12570	730	2280	16760	65	85	120	65	85	120	900	2337	3507	900	2337	3507
21	126	296	446	126	348	525	630	1404	2928	630	1404	2928	780	2360	12800	780	2360	17070	70	95	130	70	95	130	990	2571	3858	990	2571	3858
22	132	306	461	132	360	542	663	1458	3042	663	1458	3042	840	2430	13020	840	2430	17360	70	95	130	70	95	130	1089	2826	4239	1089	2826	4239
23	138	316	476	138	372	560	696	1512	3156	696	1512	3156	890	2480	13250	890	2480	17670	75	100	140	75	100	140	1197	3105	4659	1197	3105	4659
24	144	326	491	144	384	578	729	1566	3270	729	1566	3270	940	2550	13470	940	2550	17960	80	105	150	80	105	150	1317	3417	5127	1317	3417	5127
25	150	337	506	150	396	595	762	1620	3384	762	1620	3384	1000	2610	13700	1000	2610	18270	80	105	150	80	105	150	1410	3660	5490	1410	3660	5490
26	156	347	521	156	408	613	795	1674	3498	795	1674	3498	1060	2680	13920	1060	2680	18560	85	115	155	85	115	155	1509	3915	5874	1509	3915	5874
27	162	357	536	162	420	630	828	1728	3612	828	1728	3612	1130	2750	14150	1130	2750	18870	85	115	155	85	115	155	1614	4191	6288	1614	4191	6288
