Name	*Rune Name	complete	firstLadderSeason	lastLadderSeason	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
Runeword1	Ancients' Pledge	1			109	shld									RalOrtTal	r08	r09	r07				dmg%		70	70	mana%		15	15	mag%		50	50	swing2		20	20	manasteal		15	15	skilltab	20	3	3	res-all		8	8	0
Runeword2	Armageddon																																																	0
Runeword3	Authority																																																	0
Runeword4	Beast	1			110	axe	scep	hamm							BerTirUmMalLum	r30	r03	r22	r23	r17		dex		10	10	dmg-ltng		20	20	regen		20	20	extra-fire		5	5	abs-fire%		15	15	dmg%		50	50	skilltab	18	3	3	0
Runeword5	Beauty																																																	0
Runeword6	Black	1			109	club	hamm	mace							ThulIoNef	r10	r16	r04				regen		20	20	nofreeze		1	1	regen-mana		15	15	freeze		3	3	hp		30	30	res-ltng-max	0	10	10	oskill	Meteor	10	10	0
Runeword7	Blood																																																	0
Runeword8	Bone	1			111	tors									SolUmUm	r12	r22	r22				light		5	5	red-dmg		2	2	fire-min		2	2	fire-max		5	5	half-freeze		1	1	thorns	0	16	16	att-dem/lvl	5			0
Runeword9	Bramble	1			110	tors									RalOhmSurEth	r08	r27	r29	r05			swing2		15	15	ease		-50	-50	lifesteal		6	6	dmg%		200	200	ethereal		1	1	gold%/lvl	25			thorns	0	12	12	0
Runeword10	Brand	1			Previously Ladder Only	miss									JahLoMalGul	r31	r28	r23	r25			dmg-undead		50	50	hp		10	10	block2		30	30	vit		5	5	aura	Sanctuary	18	18	dmg%	0	65	65	ease		-15	-15	0
Runeword11	Breath of the Dying	1			110	weap									VexHelElEldZodEth	r26	r15	r01	r02	r33	r05	swing2		20	20	att		100	100	block		20	20	hit-skill	66	5	2	noheal		1	1	dmg%		10	10	mag%		30	30	0
Runeword12	Broken Promise																																																	0
Runeword13	Call to Arms	1			110	weap									AmnRalMalIstOhm	r11	r08	r23	r24	r27		gethit-skill	92	15	15	ac%		150	150	str		20	20	regen-mana		15	15	enr		10	10	oskill	150	2	2	res-fire		25	25	0
Runeword14	Chains of Honor	1			110	tors									DolUmBerIst	r14	r22	r30	r24			dmg%		130	130	manasteal		3	3	hit-skill	66	5	2	res-fire		20	20	balance2		25	25	mag%	0	20	20	bar		3	3	0
Runeword15	Chance																																																	0
Runeword16	Chaos	1			110	h2h									FalOhmUm	r19	r27	r22				dmg%		200	200	att-demon		200	200	res-all	0	25	25	mana-kill		2	2	ltng-min		1	1	ltng-max		58	58	indestruct		1	1	0
Runeword17	Crescent Moon	1			110	axe	swor	pole							ShaelUmTir	r13	r22	r03				ac-miss		250	250	thorns		8	8	oskill	55	3	3	cold-min		3	3	cold-max		8	8	cold-len		25	25	deadly/lvl	4			0
Runeword18	Darkness																																																	0
Runeword19	Daylight																																																	0
Runeword20	Death	1			Previously Ladder Only	swor	axe								HelElVexOrtGul	r15	r01	r26	r09	r25		mana	0	40	40	hp%		27	27	red-mag		20	20	move2		20	20	swing3		40	40	ltng-min	0	1	1	ltng-max	0	40	40	0
Runeword21	Deception																																																	0
Runeword22	Delirium	1			110	helm									LemIstIo	r20	r24	r16				cast2		30	30	mana/lvl	10			freeze		3	3	ease		-25	-25	oskill	Skeleton Mastery	2	2	ac		50	50	ama	0	1	1	0
Runeword23	Desire																																																	0
Runeword24	Despair																																																	0
Runeword25	Destruction	1			Previously Ladder Only	pole	swor								VexLoBerJahKo	r26	r28	r30	r31	r18		crush		25	25	swing2		30	30	aura	Holy Fire	16	16	cast2		10	10	att		66	66	att%		30	30	hp		5	5	0
Runeword26	Doom	1			110	axe	pole	hamm							HelOhmUmLoCham	r15	r27	r22	r28	r32		str		25	25	dmg%		60	60	stupidity		3	3	abs-fire		10	10	dmg-mag		240	240	dmg-max		23	23	res-ltng		30	30	0
Runeword27	Dragon	1			Previously Ladder Only	tors	shld								SurLoSol	r29	r28	r12				att		70	70	balance2		20	20	skilltab	2	3	3	dmg-fire		371	371	thorns		30	30	res-cold	0	28	28	hp		30	30	0
Runeword28	Dread																																																	0
Runeword29	Dream	1			Previously Ladder Only	helm	shld								IoJahPul	r16	r31	r21				res-all		10	10	balance2		20	20	ac%		200	200	regen	0	3	3	att		60	60	att-demon		300	300	dmg-min		1	1	0
Runeword30	Duress	1			110	tors									ShaelUmThul	r13	r22	r10				swing2		30	30	block2		30	30	aura	Fanaticism	1	1	dmg-to-mana		10	10	res-all		11	11	dex		6	6	state	fullsetgeneric	1	1	0
Runeword31	Edge	1			Previously Ladder Only	miss									TirTalAmn	r03	r07	r11				str		30	30	abs-ltng		14	14	oskill	Lightning Bolt	3	3	res-all		10	10	res-ltng		15	15	att		36	36	skilltab	9	1	1	0
Runeword32	Elation																																																	0
Runeword33	Enigma	1			110	tors									JahIthBer	r31	r06	r30				res-pois		10	10	swing3		30	30	slow		50	50	att-demon		200	200	gethit-skill	76	5	1	regen		4	4	lifesteal	0	8	8	0
Runeword34	Enlightenment	1			111	tors									PulRalSur	r21	r08	r12				ac%		120	120	nec		1	1	mana-kill		4	4	oskill	Oak Sage	2	2	mag%		30	30	red-mag		7	7	str		30	30	0
Runeword35	Envy																																																	0
Runeword36	Eternity	1			110	mele									AmnBerIstSolSur	r11	r30	r24	r12	r29		att		200	200	allskills		2	2	sor		3	3	indestruct		1	1	mag%		50	50	str		20	20	enr		10	10	0
Runeword37	Exile	1			110	pala									VexOhmIstDol	r26	r27	r24	r14			skilltab	6	1	1	enr		20	20	bar		2	2	ac%		50	50	mana		50	50	dmg-pois	75	35	35	oskill	49	4	4	0
Runeword38	Faith	1			"110, Previously Ladder Only"	miss									OhmJahLemEld	r27	r31	r20	r02			dmg%		50	50	cast3		50	50	red-mag		2	2	hit-skill	Fire Ball	5	15	lifesteal		10	10	balance1		10	10	res-all		50	50	0
Runeword39	Famine	1				axe	hamm								FalOhmOrtJah	r19	r27	r09	r31			dmg-max		3	3	hp		20	20	ac		60	60	att	0	40	40	gold%		30	30	dmg-pois	100	39	39	lifesteal		4	4	0
Runeword40	Flickering Flame	1	1	2	D2R Ladder 1	helm									NefPulVex	r04	r21	r26				res-fire		75	75	vit		20	20	extra-ltng		15	15	dmg-undead		200	200	ac		35	35	skilltab	14	1	1	manasteal		9	9	0
Runeword41	Fortitude	1			Previously Ladder Only	weap	tors								ElSolDolLo	r01	r12	r14	r28			ac		25	25	hp/lvl	12			openwounds		66	66	crush		33	33	gethit-skill	240	7	1	gold%		10	10	regen-mana		15	15	0
Runeword42	Fortune																																																	0
Runeword43	Amity																																																	0
Runeword44	Fury	1			109	mele									JahGulEth	r31	r25	r05				light		-1	-1	skilltab	0	2	2	dmg-pois	250	300	300	dmg%		320	320	att-skill	Charged Bolt	20	20	dmg-max		12	12	oskill	77	7	7	0
Runeword45	Gloom	1			110	tors									FalUmPul	r19	r22	r21				ac%		160	160	att-demon		300	300	aura	Fanaticism	9	9	att		12	12	thorns		5	5	mana	0	25	25	ac		150	150	0
Runeword46	Glory																																																	0
Runeword47	Grief	1			Previously Ladder Only	swor	axe								EthTirLoMalRal	r05	r03	r28	r23	r08		res-pois		20	20	pois-min	0	101	101	pois-max	0	101	101	pois-len	0	152	152	dex	0	15	15	ignore-ac		1	1	half-freeze		1	1	0
Runeword48	Hand of Justice	1			110	weap									SurChamAmnLo	r29	r32	r11	r28			openwounds		35	35	allskills		1	1	dmg%		200	200	res-cold		10	10	ac		60	60	stam		50	50	att		40	40	0
Runeword49	Harmony	1			Previously Ladder Only	miss									TirIthSolKo	r03	r06	r12	r18			regen		10	10	slow		25	25	att%		10	10	hp	0	31	31	dmg-max		9	9	str		4	4	regen-mana		12	12	0
Runeword50	Hatred																																																	0
Runeword51	Heart of the Oak	1			110	staf	mace								KoVexPulThul	r18	r26	r21	r10			ac%		30	30	crush		20	20	dur		20	20	swing2		50	50	thorns	0	16	16	regen-mana		15	15	dex		15	15	0
Runeword52	Heaven's Will																																																	0
Runeword53	Holy Tears																																																	0
Runeword54	Holy Thunder	1			109	scep									EthRalOrtTal	r05	r08	r09	r07			oskill	118	3	3	openwounds		35	35	dmg%		130	130	slow		50	50	res-fire		-70	-70	ac%		100	100	light		1	1	0
Runeword55	Honor	1			109	mele									AmnElIthTirSol	r11	r01	r06	r03	r12		ama		1	1	swing2		40	40	mana		75	75	res-all		10	10	ac%		40	40	dmg%		30	30	mag%		19	19	0
Runeword56	Revenge																																																	0
Runeword57	Humility																																																	0
Runeword58	Hunger																																																	0
