index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Civerb's Ward	0	Civerb's Vestments	lrg	Large Shield	7	13	9	lyel	lyel						5	2500	1	red-mag		13	13	mana		29	29	dmg-ltng		50	50	dex		15	15	att		50	50	dmg%		200	200	fire-min		1	1	fire-max		3	3	res-pois		12	12	oskill	101	20	20	red-dmg		20	20	str		8	8	dmg-norm		50	50	res-ltng		35	35	oskill	Teeth	5	5	dex		20	20	skilltab	20	2	2	res-all		5	5	hp		50	50		0
Civerb's Icon	1	Civerb's Vestments	amu	Amulet	7	13	9	lyel	lyel						5	2500	2	cold-min		9	9	cold-max		30	30	heal-kill		9	9	res-all		7	7	dmg-norm		30	30	att	0	150	150	res-ltng-max		10	10	att%		20	20	ac		150	150	lifesteal		10	10	mana		50	50	dmg-undead		50	50	swing2		30	30	dmg%		320	320	att		30	30	dmg-fire		500	500	balance2		20	20					regen		30	30		0
Civerb's Cudgel	2	Civerb's Vestments	gsc	Grand Scepter	7	13	9	lyel	lyel						5	2500		mana%		40	40	ac		100	100	hit-skill	Firestorm	40	22	ac%		30	30	bar	0	1	1	skilltab	15	1	1													ltng-min		1	1	swing2		30	30	ltng-max		79	79	res-all		70	70	mag%		50	50					dmg-mag		377	377					res-fire		33	33						0
Hsarus' Iron Heel	3	Hsarus' Defense	mbt	Chain Boots	7	4	3	dred	dred						5	2500	2	light-thorns		25	25	red-mag		15	15	hp		65	65	skilltab	6	1	1	dex		9	9	res-pois-max	0	10	10													str		25	25	dmg%		340	340	oskill	74	5	5					res-cold		11	11					att-demon		100	100														0
Hsarus' Iron Fist	4	Hsarus' Defense	buc	Buckler	7	4	3	dred	dred						5	2500	2	dmg%		120	120	enr		15	15	mana%		10	10	abs-fire		15	15	deadly		33	33	res-all		10	10	oskill	52	1	1									ltng-min		1	1	balance2		20	20	ltng-max		5	5	lifesteal		15	15	str		2	2	skilltab	12	2	2	res-fire		45	45					dmg-norm		20	20						0
Hsarus' Iron Stay	5	Hsarus' Defense	mbl	Belt	7	4	3	dred	dred						5	2500	2	dmg-pois	250	256	256	lifesteal		9	9	block2		30	30	oskill	Shape Shifting	6	6	gold%		160	160	hit-skill	Frozen Orb	9	11	ac		25	25	mana-kill		2	2	pal	0	2	2	swing2		20	20	block		25	25	lifesteal		8	8	red-dmg		2	2	light		-4	-4	att-skill	49	5	3	thorns		30	30					ac%		120	120						0
Cleglaw's Tooth	6	Cleglaw's Brace	lsd	Long Sword	7	6	4	lred	lred						5	2500	2	mana		20	20	res-fire		50	50	mana/lvl	12			str		20	20	str/lvl	3			res-cold		30	30	mag%	0	16	16	cold-min		3	3	cold-max		5	5	dmg-cold	125	112	112	dmg%		290	290	ac%		150	150					regen-mana	0	12	12					cast3		20	20														0
Cleglaw's Claw	7	Cleglaw's Brace	sml	Small Shield	7	6	4	lred	lred						5	2500	2	swing2		20	20	light		-2	-2	ac%		60	60	freeze		2	2	red-dmg		16	16	dmg%		240	240	indestruct		1	1	res-pois	0	20	20	mana		26	26	dur		250	250	hp		20	20	swing2		25	25					mana		12	12																						0
Cleglaw's Pincers	8	Cleglaw's Brace	mgl	Chain Gloves	7	6	4	lred	lred						5	2500	2	stam		15	15	noheal		1	1	dmg%		200	200	nofreeze		1	1	swing2		33	33	aura	Redemption	15	15	oskill	69	4	4	res-fire	0	12	12	pal	0	2	2	dmg%		200	200	gold%		-33	-33	ac/lvl	24			res-ltng		35	35	att		12	12	res-cold	0	30	30	mana		26	26	light		5	5	oskill	48	4	4						0
Iratha's Collar	9	Iratha's Finery	amu	Amulet	7	21	15	lgry	lgry						5	2500	2	dmg%		140	140	hp		20	20	str		15	15	deadly		33	33	ac		50	50	skilltab	16	1	1	oskill	81	6	6									dmg%		120	120	hp/lvl	10			enr		20	20					ac		90	90					swing2		20	20														0
