index	name	version	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Civerb's Vestments	Civerb's Vestments	0	dmg%		220	220	pois-min		8	8	dmg-undead		300	300	pois-max		24	24	res-pois	0	16	16	pois-len		75	75	oskill	55	6	6					pierce-cold		35	35	manasteal		8	8	hit-skill	Decrepify	20	15	balance2		25	25	dex		6	6	allskills		1	1	att		20	20	cast3		20	20	0
Hsarus' Defense	Hsarus' Defense	0	ac		25	25	lifesteal		15	15	dmg%		250	250					oskill	Feral Rage	6	6					regen	0	3	3					att-undead		40	40	ac		10	10	mag%		100	100	dmg-undead		50	50	ac/lvl	20			dex		20	20	lifesteal		9	9	dmg-max		2	2	0
Cleglaw's Brace	Cleglaw's Brace	0	light		-3	-3	dmg-max		2	2	move2		15	15					att	0	60	60													dmg-ltng		40	40	pierce-cold		35	35	oskill	225	12	12	move2		20	20	ac%		130	130	abs-ltng		7	7	manasteal		10	10	ease		-40	-40	0
Iratha's Finery	Iratha's Finery	0	ac		50	50	gethit-skill	Lower Resist	20	12	swing3		30	30	ltng-min		1	1	fire-min	0	3	3	ltng-max		33	33	fire-max	0	4	4	mana		13	13	abs-fire/lvl	6			vit/lvl	4			oskill	13	3	3	mag%		100	100	mana		77	77	lifesteal	0	2	2	res-fire		5	5	dex		3	3	0
Isenhart's Armory	Isenhart's Armory	0	dmg%		140	140	str		20	20	mag%		25	25	gethit-skill	76	10	2	ease		-40	-40	pal		2	2	manasteal		7	7	cast2		10	10	light-thorns		15	15	cast1		20	20	res-ltng		50	50	regen-mana		15	15	rip		1	1	hp	0	10	10	att		10	10	manasteal		5	5	0
Vidala's Rig	Vidala's Rig	0	ac%		100	100	mag%		25	25	vit		40	40	dmg%		325	325	skilltab	13	1	1	regen-stam		50	50	dex		15	15	mana		10	10	dmg-undead		60	60	pal		2	2	sor		3	3	gethit-skill	38	12	4	skilltab	11	2	2	str		10	10	res-fire		30	30	oskill	48	7	7	0
Milabrega's Regalia	Milabrega's Regalia	0	dmg%		160	160	red-mag		4	4	fire-min		1	1	dmg-ltng		240	240	fire-max		3	3	ac%		50	50	block		20	20	thorns		20	20	thorns		5	5	light-thorns		15	15	mana%		20	20	oskill	Spirit of Barbs	7	7	nofreeze		1	1	mag%		35	35	manasteal		12	12	move3		30	30	0
Cathan's Traps	Cathan's Traps	0	thorns		8	8	mana		15	15	swing2		60	60	lifesteal		13	13	ease		-50	-50	dmg-max		2	2	skilltab	10	2	2	nofreeze	0	1	1	oskill	101	20	20	ac%		160	160	balance2		30	30	abs-mag		11	11	vit		22	22	regen-mana	0	19	19	dmg%		350	350	mag%		100	100	0
Tancred's Battlegear	Tancred's Battlegear	0	slow		50	50	dmg		120	120	dmg/lvl	20			oskill	17	3	3	allskills		2	2	dex		15	15	red-dmg%		15	15	att-skill	36	10	4	str		6	6	oskill	76	3	3	ama		1	1	regen-stam		25	25	ltng-min		1	1	ltng-max		480	480	dmg-pois	100	460	460	res-pois		40	40	0
Sigon's Complete Steel	Sigon's Complete Steel	0	light		-1	-1	abs-fire%		30	30	oskill	Battle Orders	6	6	res-all		45	45	dmg-to-mana		12	12	dmg-pois	125	308	308	manasteal		8	8	oskill	14	6	6	gethit-skill	92	9	6	dmg%		123	123	dmg-ac		-100	-100	mag%		100	100	red-dmg		2	2	dex		30	30	ease		-40	-40	lifesteal	0	8	8	0
Infernal Tools	Infernal Tools	0	swing2		20	20	mana		175	175	res-ltng	0	20	20	cast2		20	20	skilltab	19	3	3	dmg-pois	150	349	349	str		20	20	thorns		20	20	att		100	100	oskill	77	3	3	dmg%		200	200	allskills		1	1	hp		15	15	pierce-ltng		15	15	block		25	25	skilltab	17	1	1	0
Berserker's Garb	Berserker's Garb	0	ac%		80	80	red-dmg%		10	10	pierce-immunity-damage		300	300	block		20	20	block		20	20	att%		20	20	gold%		50	50	ac%		75	75	deadly		30	30	ac%		100	100	dmg-max		20	20	oskill	74	5	5	move2		20	20	nofreeze		1	1	mana		40	40	dmg-pois	75	171	171	0
Death's Disguise	Death's Disguise	0	dmg%		100	100	cast3		20	20	str		6	6	thorns		6	6	att	0	120	120					dmg-fire		200	200					dmg%		200	200	mana		100	100	dmg-norm		45	45	res-all		40	40	ac%		200	200	res-fire		40	40	balance2		50	50	att		10	10	0
Angelical Raiment	Angelical Raiment	0	ac		20	20	oskill	127	4	4	ac-miss		350	350	ac	0	18	18	hp		40	40	att	0	100	100	fade		1	1	skilltab	7	2	2	oskill	121	1	1	pierce-fire		15	15	dex		10	10	res-cold		37	37	dmg%	0	20	20	res-pois	0	10	10	res-all		12	12	red-mag		4	4	0
Arctic Gear	Arctic Gear	0	att-undead		100	100	fireskill		1	1	oskill	55	3	3	enr		12	12	crush		25	25	res-all		30	30	regen-mana	0	12	12	hp%		5	5	thorns		10	10	regen		5	5	hp/lvl	12			ac		40	40	block		20	20	dmg%	0	40	40	res-cold		30	30	enr		15	15	0
Arcanna's Tricks	Arcanna's Tricks	0	red-dmg		5	5	oskill	42	3	3	dmg-max		7	7	red-dmg		11	11	lifesteal		4	4	att		60	60	manasteal		10	10	res-ltng		20	20	enr		9	9	fire-min	0	3	3	fire-max	0	4	4	crush		35	35	block		20	20	pal		2	2	swing2		20	20	mag%		25	25	0
Expansion																																																																			
Natalya's Odium	Natalya's Odium	100	att		100	100	vit		20	20	ama		1	1	dmg%		240	240	ac%		220	220	str		10	10	cast3		35	35	res-fire		12	12	balance2		20	20	dmg%		200	200	manasteal		8	8	regen-mana		43	43	dmg-max		7	7	ltng-min		1	1	ltng-max		23	23	ama		1	1	0
Aldur's Watchtower	Aldur's Watchtower	100	manasteal		7	7	res-cold		20	20	enr		15	15	fire-min		1	1	regen-mana		30	30	fire-max		3	3	oskill	240	6	6	res-all		20	20	mana-kill		2	2	swing2		20	20	hit-skill	234	5	7	allskills		1	1	dmg%	0	30	30	pal		2	2	gethit-skill	48	14	5	oskill	44	8	8	0
Immortal King	Immortal King	100	ac%		240	240	block		25	25	block2		30	30	regen		10	10	gethit-skill	76	10	2	dmg-undead		250	250	crush		10	10	res-cold		40	40	block		30	30	allskills		1	1	thorns		5	5	aura	Holy Freeze	12	12	swing2		35	35	hp		50	50	str		15	15	oskill	Fire Mastery	3	3	0
Tal Rasha's Wrappings	Tal Rasha's Wrappings	100	att		28	28	dmg%		150	150	mag%		3	3	res-pois		45	45	skilltab	1	1	1	hp/lvl	6			res-pois-len	0	75	75	oskill	24	3	3	res-all		50	50	allskills		2	2	oskill	41	3	3	gethit-skill	Fade	5	15	dmg-undead	0	44	44	att		132	132	mana		33	33	res-fire		7	7	0
Griswold's Legacy	Griswold's Legacy	100	swing2		20	20	swing2		25	25	openwounds		50	50	allskills		2	2	res-all		10	10	att-demon		100	100	dmg%		25	25	mana		46	46	block		20	20	oskill	Summon Fenris	15	15	openwounds		25	25	att%		30	30	ac	0	12	12	ac-miss		30	30	skilltab	7	1	1	dmg-max		1	1	0
Trang-Oul's Avatar	Trang-Oul's Avatar	100	dmg-fire		200	200	swing2		10	10	swing2		33	33	hit-skill	Bone Spear	100	18	skilltab	5	1	1	lifesteal		5	5	att		10	10	res-fire		30	30	all-stats		10	10	dmg-to-mana		12	12	stupidity		1	1	lifesteal		10	10	fire-min		2	2	fire-max		3	3	mag%		20	20	ac		100	100	0
M'avina's Battle Hymn	M'avina's Battle Hymn	100	allskills		1	1	mag%/lvl	10			str		15	15	ac%		120	120	dmg/lvl	6			res-cold		25	25	oskill	244	3	3	dex		6	6	ac%		50	50	dmg-fire		180	180	res-pois		20	20	nofreeze		1	1	res-all		13	13	dmg-pois	150	349	349	skilltab	12	1	1	att-skill	49	5	3	0
The Disciple	The Disciple	100	dmg%		210	210	mana		40	40	manasteal		4	4	oskill	92	4	4	oskill	16	4	4	hit-skill	121	5	7	fade		1	1	half-freeze		1	1	hp		10	10	dmg-max		10	10	oskill	84	2	2	res-cold		40	40	ac%		60	60	thorns		14	14	mana		7	7	ac		200	200	0
Heaven's Brethren	Heaven's Brethren	100	res-pois-len		50	50	half-freeze	0	1	1	hp		57	57	ac%		140	140	fire-min		27	27	fireskill		3	3	fire-max		43	43					ac%		100	100	att-demon		300	300	dmg-norm		30	30	light		2	2	dmg%		90	90	mana-kill		15	15	mana		10	10					0
