index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
The Gnasher	0	0	1			1		7	5	hax	Hand Axe		5	5000	dyel			invhaxu				red-dmg		11	16	skilltab	18	2	2	mana		50	50	dmg%		50	90	hp/lvl	10			dmg/lvl	4			att-undead		175	250	oskill	92	4	4	ignore-ac		1	1	balance2		20	20	thorns		14	14						0
Deathspade	1	0	1			1		12	9	axe	Axe		5	5000	dgld			invaxeu				vit		10	10	cast2		33	33	att-undead		326	450	swing2		15	15	dmg%		30	50	red-mag		15	15	cold-min		24	45	cold-max		91	140	nofreeze		1	1	skilltab	9	2	4	dmg-ac		-100	-100	dmg-ltng		5	25		0
Bladebone	2	0	1			1		20	15	2ax	Double Axe		5	5000	lgry	lgry						slow		35	35	skilltab	3	1	1	hit-skill	Hydra	12	15	deadly		25	25	light		4	4	regen		5	5	gold%		80	100	att	0	100	100	mag%		1	1	ac		20	30	fire-min		26	50	fire-max		61	90		0
Mindrend	3	0	1			1		28	21	mpi	Military Pick		5	5000	lgrn			invmpiu				dmg%		200	300	str		10	10	hit-skill	66	5	1	mana		35	35	ac%		180	220	dmg-fire		24	48	mana-kill		10	15	thorns/lvl	11			res-all		13	13	ac-miss		250	250	mag%		5	15	red-mag	0	3	3		0
Rakescar	4	0	1			1		36	27	wax	War Axe		5	5000	dgry	dgry						manasteal		6	8	ltng-min		1	1	ltng-max		59	90	ac		15	15	res-cold		8	10	dmg%		31	40	ac%		41	50	mag%		25	50	ama		2	2	dex		5	5	dmg-undead		200	200	str		10	10		0
Fechmars Axe	5	0	1			1		11	8	lax	Large Axe		5	5000	lpur	lpur						oskill	16	2	2	att		30	30	deadly/lvl	12			dur		20	20	res-fire		15	20	deadly		33	33	ac		25	25	gethit-skill	52	5	5	res-pois		8	10	mana		6	10	str		3	5	nec	0	1	1		0
Goreshovel	6	0	1			1		19	14	bax	Broad Axe		5	5000	dpur	dpur						dmg-norm		3	7	dmg%		80	120	ac		10	10	dmg-pois	250	256	256	hp		60	60	move2		20	20	regen-stam		15	15	dmg-undead	0	44	44	ease		-20	-20	dmg-max		1	3	mana		1	2	red-dmg		3	3		0
The Chieftan	7	0	1			1		26	19	btx	Battle Axe		5	5000	oran			invbtxu				oskill	96	3	3	noheal		1	1	dmg-norm		12	30	dmg%		180	230	regen		-5	-5	skilltab	7	3	3	swing3		40	40	thorns		8	8	bar		1	1	dmg-max		3	3	hp		50	50	str		20	20		0
Brainhew	8	0	1			1		34	25	gax	Great Axe		5	5000	whit			invgaxu				manasteal		5	8	hit-skill	Firestorm	12	16	slow		10	10	extra-ltng		3	5	res-pois		-90	-70	dmg-mag		216	471	mag%		12	25	res-fire	0	22	22	res-ltng		16	20	red-mag		3	3	balance1		10	10	dex		30	30		0
The Humongous	9	0	1			1		39	29	gix	Giant Axe		5	5000	blac	blac						openwounds		50	50	oskill	58	3	3	balance2		30	30	gold%		100	100	red-dmg		7	11	stam/lvl	8			rip		1	1	gethit-skill	38	12	4	hit-skill	44	10	3	res-cold	0	21	30	skilltab	2	2	2	dex		1	1		0
